Batch_ID,Medicine_Name,Category,Manufacturer,Manufacturing_Date,Expiry_Date,Current_Stock,Reorder_Level,Maximum_Stock,Unit_Price,Warehouse,Critical_Medicine
BATCH-0001,Warfarin,Anticoagulant,BloodCare,2026-02-10,2026-09-03,94.0,112.0,205,19.86,WH-West,Yes
BATCH-0002,Ibuprofen,Analgesic,MediServe,2024-11-30,2026-08-04,105.0,73.0,133,92.29,WH-West,No
BATCH-0003,Amoxicillin,Antibiotic,MediServe,2024-11-25,2026-07-27,201.0,200.0,383,115.03,WH-South,No
BATCH-0004,Clopidogrel,Antiplatelet,CardioMed,2025-03-04,2026-08-14,191.0,105.0,308,19.82,WH-East,No
BATCH-0005,Ibuprofen,Analgesic,MediServe,2025-03-05,2026-08-19,34.0,61.0,158,23.1,WH-East,No
BATCH-0006,Ibuprofen,Analgesic,MediServe,2025-04-13,2026-08-06,17.0,142.0,335,11.64,WH-South,No
BATCH-0007,Metoprolol,Beta-blocker,CardioMed,2025-12-05,,214.0,75.0,155,97.17,WH-Central,No
BATCH-0008,Penicillin,Antibiotic,PharmaCorp,2025-02-21,2026-08-18,292.0,118.0,301,98.97,WH-West,Yes
BATCH-0009,Warfarin,Anticoagulant,BloodCare,2024-09-04,2026-08-31,34.0,91.0,199,148.48,WH-West,Yes
BATCH-0010,Amoxicillin,Antibiotic,MediServe,2025-03-04,2026-07-29,4.0,64.0,117,121.73,WH-East,No
BATCH-0011,Lisinopril,Antihypertensive,CardioMed,2025-08-06,2026-09-06,710.0,195.0,548,35.83,WH-East,No
BATCH-0012,Amlodipine,Antihypertensive,CardioMed,2024-10-05,2026-07-16,156.0,85.0,158,83.15,WH-West,No
BATCH-0013,Amlodipine,Antihypertensive,CardioMed,2024-12-04,2026-07-15,96.0,85.0,192,114.59,WH-North,No
BATCH-0014,Penicillin,Antibiotic,PharmaCorp,2025-08-23,2026-08-01,98.0,158.0,378,60.33,WH-East,Yes
BATCH-0015,Atorvastatin,Cholesterol,CardioMed,2026-02-15,2026-08-25,68.0,79.0,199,113.88,WH-Central,No
BATCH-0016,Ibuprofen,Analgesic,MediServe,2025-01-04,2026-09-21,142.0,50.0,146,43.19,WH-West,No
